Order_ID,Product,Category,Quantity,Price,Total_Amount,Date
1001,Sony Ericsson W830,Sony,1,24477,24477,18/10/2024
1002,Huawei G7300,Huawei,2,14538,29076,14/03/2024
1003,Huawei Watch 2 2018,Huawei,2,20748,41496,13/06/2024
1004,BenQ-Siemens EF51,BenQ-Siemens,4,8786,35144,26/01/2025
1005,alcatel OT-206,alcatel,3,13031,39093,09/04/2024
1006,Haier Z3000,Haier,5,20946,104730,05/08/2024
1007,Samsung Gravity Q T289,Samsung,2,19476,38952,07/01/2025
1008,Samsung D800,Samsung,3,21146,63438,12/02/2025
1009,Samsung Ativ Tab P8510,Samsung,1,15622,15622,25/02/2024
1010,Sony Xperia S,Sony,4,10472,41888,08/04/2024
1011,T-Mobile G2 Touch,T-Mobile,2,13247,26494,16/05/2024
1012,Philips X1560,Philips,4,7761,31044,12/05/2024
1013,Ulefone Armor X5 Pro,Ulefone,2,10257,20514,08/01/2025
1014,Coolpad Cool 5,Coolpad,5,22208,111040,15/03/2024
1015,vivo Y19,vivo,1,10054,10054,09/04/2024
1016,Celkon i4,Celkon,2,9808,19616,10/12/2024
1017,Samsung L760,Samsung,5,23575,117875,16/01/2025
1018,LG U310,LG,2,10406,20812,17/12/2024
1019,ZTE nubia My Prague,ZTE,3,17831,53493,10/06/2024
1020,Spice M-6 Sports,Spice,4,15209,60836,29/07/2024
